## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=../Processed_bams/GRL1694.rgadded.mkdup.bam OUTPUT=Results/GRL1694_collect_wgs_metrics.txt REFERENCE_SEQUENCE=../Reference_files/genome/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 11 15:00:15 EEST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
12157105	59.221243	23.11988	58	8	0.096848	0.005047	0.006544	0.045424	0.084363	0.054792	0.293018	0.981509	0.976758	0.973944	0.971954	0.970284	0.968467	0.965334	0.933638	0.76699	0.440716	0.184607	0.076816	0.036122	0.018986	0.979369	17

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	224793
1	21771
2	14812
3	11496
4	9679
5	8558
6	8076
7	6596
8	5818
9	5168
10	4982
11	5122
12	4942
13	4593
14	4558
15	4376
16	4019
17	3926
18	3936
19	4037
20	4202
21	4380
22	4493
23	4431
24	4592
25	5139
26	6073
27	7352
28	8709
29	10807
30	12943
31	15873
32	19573
33	24077
34	29381
35	36054
36	44611
37	54398
38	66618
39	81805
40	97956
41	117218
42	139002
43	161581
44	186487
45	211683
46	239930
47	265105
48	291353
49	315644
50	339415
51	361504
52	380405
53	394173
54	407065
55	416112
56	419945
57	421184
58	417635
59	409111
60	396834
61	381347
62	363072
63	344092
64	324491
65	303666
66	281784
67	261311
68	238998
69	217941
70	198311
71	179841
72	161124
73	146082
74	131346
75	119623
76	107334
77	97744
78	88772
79	80253
80	72916
81	65615
82	59261
83	53938
84	49332
85	44938
86	41820
87	38373
88	35658
89	32866
90	30187
91	27542
92	25348
93	22828
94	20919
95	18820
96	17521
97	16182
98	14921
99	14067
100	12935
101	11914
102	11224
103	10213
104	9334
105	8614
106	7891
107	6938
108	6420
109	5554
110	4967
111	4464
112	3913
113	3515
114	3232
115	2828
116	2514
117	2326
118	2021
119	1905
120	1734
121	1546
122	1425
123	1260
124	1155
125	1058
126	967
127	876
128	757
129	652
130	592
131	503
132	434
133	386
134	338
135	307
136	279
137	285
138	215
139	235
140	193
141	163
142	184
143	189
144	188
145	160
146	161
147	139
148	124
149	142
150	114
151	125
152	113
153	100
154	86
155	90
156	98
157	70
158	69
159	62
160	65
161	57
162	64
163	55
164	55
165	50
166	41
167	41
168	39
169	32
170	45
171	32
172	53
173	45
174	40
175	48
176	49
177	38
178	30
179	53
180	36
181	29
182	43
183	35
184	27
185	29
186	23
187	25
188	32
189	20
190	30
191	31
192	27
193	27
194	27
195	36
196	19
197	18
198	27
199	14
200	25
201	14
202	9
203	23
204	16
205	16
206	13
207	15
208	12
209	11
210	14
211	12
212	18
213	18
214	14
215	14
216	16
217	21
218	16
219	23
220	18
221	18
222	18
223	14
224	18
225	14
226	16
227	11
228	15
229	11
230	11
231	10
232	12
233	19
234	15
235	23
236	15
237	21
238	13
239	16
240	11
241	14
242	9
243	13
244	8
245	15
246	6
247	12
248	14
249	13
250	88284

